epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,211.886,1.79371,1.12434,1.31013,0.89242,0.86377,0.91648,0.39528,1.83528,1.12813,1.3719,0.0006932,0.0006932,0.0006932
68,216.962,1.78081,1.10437,1.30991,0.88495,0.86957,0.91635,0.41306,1.76559,1.10455,1.34266,0.0006734,0.0006734,0.0006734
69,219.641,1.7701,1.07108,1.32185,0.88495,0.86957,0.91635,0.41306,1.76559,1.10455,1.34266,0.0006536,0.0006536,0.0006536
70,222.139,1.87882,1.13144,1.34701,0.88495,0.86957,0.91635,0.41306,1.76559,1.10455,1.34266,0.0006338,0.0006338,0.0006338
71,228.292,1.81385,1.0705,1.33884,0.90112,0.88116,0.92153,0.40947,1.76656,1.11936,1.35356,0.000614,0.000614,0.000614
72,231.644,1.78455,1.08105,1.31828,0.90112,0.88116,0.92153,0.40947,1.76656,1.11936,1.35356,0.0005942,0.0005942,0.0005942
73,237.838,1.82379,1.12803,1.33189,0.87793,0.82609,0.84467,0.38598,1.74129,1.11545,1.35337,0.0005744,0.0005744,0.0005744
74,240.67,1.76313,1.10053,1.36063,0.88287,0.90725,0.92538,0.4202,1.74129,1.11545,1.35337,0.0005546,0.0005546,0.0005546
75,243.444,1.79312,1.08477,1.33739,0.88287,0.90725,0.92538,0.4202,1.74129,1.11545,1.35337,0.0005348,0.0005348,0.0005348
76,250.063,1.80737,1.07246,1.32743,0.88785,0.89496,0.91932,0.403,1.75522,1.12332,1.35838,0.000515,0.000515,0.000515
77,253.315,1.74345,1.11153,1.31919,0.88785,0.89496,0.91932,0.403,1.75522,1.12332,1.35838,0.0004952,0.0004952,0.0004952
78,256.632,1.81146,1.10341,1.32886,0.88785,0.89496,0.91932,0.403,1.75522,1.12332,1.35838,0.0004754,0.0004754,0.0004754
79,263.791,1.74338,1.09843,1.3487,0.87296,0.81449,0.82943,0.34812,1.83777,1.13713,1.38915,0.0004556,0.0004556,0.0004556
80,266.935,1.71191,1.07601,1.30734,0.87873,0.89275,0.90391,0.37478,1.83777,1.13713,1.38915,0.0004358,0.0004358,0.0004358
81,272.882,1.71418,1.03749,1.29487,0.86321,0.87796,0.89467,0.35242,1.90128,1.15836,1.40805,0.000416,0.000416,0.000416
82,275.88,1.80554,1.15782,1.40583,0.86321,0.87796,0.89467,0.35242,1.90128,1.15836,1.40805,0.0003962,0.0003962,0.0003962
83,278.696,1.80425,1.09396,1.33848,0.86321,0.87796,0.89467,0.35242,1.90128,1.15836,1.40805,0.0003764,0.0003764,0.0003764
84,284.813,1.80032,1.17091,1.4049,0.85501,0.87176,0.88806,0.35085,1.91215,1.15346,1.40552,0.0003566,0.0003566,0.0003566
85,287.788,1.73055,1.07121,1.31658,0.85501,0.87176,0.88806,0.35085,1.91215,1.15346,1.40552,0.0003368,0.0003368,0.0003368
86,290.493,1.74935,1.0576,1.31783,0.85501,0.87176,0.88806,0.35085,1.91215,1.15346,1.40552,0.000317,0.000317,0.000317
87,297.184,1.74972,1.08414,1.30958,0.86051,0.81739,0.82862,0.34543,1.86862,1.11798,1.37701,0.0002972,0.0002972,0.0002972
88,301.23,1.71508,1.07948,1.28262,0.8638,0.88986,0.89704,0.3701,1.86862,1.11798,1.37701,0.0002774,0.0002774,0.0002774
89,306.958,1.74893,1.01976,1.30503,0.85208,0.90164,0.9105,0.40119,1.79399,1.07917,1.34134,0.0002576,0.0002576,0.0002576
90,309.474,1.69297,1.06923,1.26448,0.85208,0.90164,0.9105,0.40119,1.79399,1.07917,1.34134,0.0002378,0.0002378,0.0002378
91,312.262,1.71149,1.06783,1.31573,0.85208,0.90164,0.9105,0.40119,1.79399,1.07917,1.34134,0.000218,0.000218,0.000218
92,318.054,1.72895,1.11653,1.26991,0.87545,0.89275,0.91832,0.41613,1.77247,1.06989,1.32518,0.0001982,0.0001982,0.0001982
93,321.208,1.71459,1.09928,1.30884,0.87545,0.89275,0.91832,0.41613,1.77247,1.06989,1.32518,0.0001784,0.0001784,0.0001784
94,323.711,1.68587,1.07525,1.27976,0.87545,0.89275,0.91832,0.41613,1.77247,1.06989,1.32518,0.0001586,0.0001586,0.0001586
