epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5382.65,1.24186,0.80028,1.19993,0.86117,0.62885,0.75794,0.5199,1.1375,0.80658,1.14236,0.0008912,0.0008912,0.0008912
58,5507.26,1.28039,0.7852,1.21347,0.83724,0.58492,0.70208,0.48055,1.08491,0.7807,1.12645,0.0008714,0.0008714,0.0008714
59,5631.21,1.23654,0.78329,1.19632,0.84081,0.68921,0.8127,0.57253,1.07218,0.75116,1.11654,0.0008516,0.0008516,0.0008516
60,5722.26,1.21254,0.77021,1.19615,0.85412,0.68721,0.81743,0.57092,1.10848,0.77249,1.12957,0.0008318,0.0008318,0.0008318
61,5831.85,1.23552,0.77936,1.19714,0.8843,0.66557,0.81579,0.56825,1.09543,0.77476,1.13665,0.000812,0.000812,0.000812
62,5936.92,1.18959,0.75544,1.18525,0.86428,0.70361,0.83968,0.59165,1.06828,0.7255,1.12114,0.0007922,0.0007922,0.0007922
63,6059.65,1.18201,0.75405,1.1707,0.86644,0.64328,0.78295,0.52051,1.20367,0.84986,1.18284,0.0007724,0.0007724,0.0007724
64,6166.96,1.18868,0.77375,1.17492,0.8385,0.6026,0.71177,0.49383,1.15955,0.85769,1.15638,0.0007526,0.0007526,0.0007526
65,6289.93,1.20449,0.76509,1.18355,0.83094,0.70033,0.82501,0.57526,1.11826,0.75606,1.13294,0.0007328,0.0007328,0.0007328
66,6410.64,1.19075,0.76708,1.17327,0.82817,0.70426,0.81896,0.55703,1.14073,0.77295,1.14847,0.000713,0.000713,0.000713
67,6522.79,1.19022,0.746,1.17005,0.82962,0.69311,0.80811,0.55674,1.12838,0.76544,1.14069,0.0006932,0.0006932,0.0006932
68,6638.83,1.19933,0.74946,1.1872,0.87291,0.69808,0.83251,0.581,1.08129,0.74513,1.12574,0.0006734,0.0006734,0.0006734
69,6761.9,1.18073,0.75045,1.16923,0.87482,0.67016,0.81469,0.56729,1.13471,0.76339,1.15369,0.0006536,0.0006536,0.0006536
70,6869.98,1.18126,0.73691,1.18033,0.86829,0.69443,0.83796,0.5826,1.11473,0.74509,1.14899,0.0006338,0.0006338,0.0006338
71,6971.66,1.18517,0.73539,1.16854,0.88069,0.63892,0.76181,0.53693,1.09967,0.74613,1.1415,0.000614,0.000614,0.000614
72,7109.5,1.17556,0.72521,1.1682,0.85484,0.67576,0.78877,0.5474,1.10006,0.75315,1.13206,0.0005942,0.0005942,0.0005942
73,7235.47,1.16428,0.7339,1.16751,0.87841,0.69508,0.84044,0.59189,1.07564,0.72958,1.13183,0.0005744,0.0005744,0.0005744
74,7337.4,1.17147,0.7292,1.17166,0.89435,0.68852,0.83325,0.58303,1.0896,0.73482,1.12259,0.0005546,0.0005546,0.0005546
75,7497.91,1.17695,0.73277,1.1791,0.87369,0.66426,0.79626,0.56199,1.07147,0.72155,1.11668,0.0005348,0.0005348,0.0005348
76,7638.11,1.1742,0.71809,1.16331,0.84736,0.63213,0.73593,0.5211,1.095,0.74743,1.12749,0.000515,0.000515,0.000515
77,7795.82,1.1965,0.73205,1.17434,0.85829,0.71884,0.83949,0.59501,1.05352,0.71042,1.1132,0.0004952,0.0004952,0.0004952
78,7900.92,1.18362,0.73412,1.17661,0.85787,0.70885,0.83582,0.58567,1.06391,0.73415,1.11537,0.0004754,0.0004754,0.0004754
79,8035.44,1.13815,0.70178,1.14175,0.83624,0.71657,0.83177,0.59181,1.0576,0.72641,1.11608,0.0004556,0.0004556,0.0004556
